?# Thai
PLEASE;โปรด
FIRST;ก่อน
LAYOUT_KEYWORD_TEXT;DotA, Defense Of the Ancient, DotA Replay, ข่าว DotA, การแข่งขัน DotA, DotA Guide, DotA Hero, DotA Item, DotA Program, DotA Map, วิเคราะห์แผนและการเล่น DotA, DotA Wallpaper, DotA Picture, DotA Tournament
LAYOUT_DESCRIPTION_TEXT;DotA : Defense of the Ancient News, Replay and Guide
GUIDE_INDEX_TITLE;DotA Hero ฮีโร่
GUIDE_ITEM_TITLE;DotA Item ไอเท็ม ออกของ
GUIDE_TECHNIC_TITLE;Technique DotA เทคนิค
REPLAY_INDEX_TITLE;Replay แข่งขัน DotA ต่างประเทศ ในประเทศ
REPLAY_INDEX2_TITLE;Replay แข่งขัน Dota 2 ต่างประเทศ ในประเทศ
STRATEGY_INDEX_TITLE;DotA Strategy
STRATEGY_CHANGELOG_TITLE;DotA Change Log
STRATEGY_GANK_TITLE;ศิลปะการ Gank
STRATEGY_MAP_TITLE;วิเคราะห์แผนที่อย่างละเอียด
DOWNLOAD_PROGRAM_TITLE;Program DotA TCGNetwork Warcraft3TFT W3DR DR Delay Reduce WC3Setup DotaReplayManager Switcher Patch
DOWNLOAD_WALLPAPER_TITLE;Wallpaper DotA พื้นหลัง DotA
DOWNLOAD_FANART_TITLE;Fan Art DotA Picture Image ภาพ รูป
LASTEST_MAP;6.74c
STABLE_MAP;6.74c
AI_MAP;6.74c AI
DOWNLOAD_MAP;Download Map
DOWNLOAD;ดาวน์โหลด
WEBBOARD_INDEX_TITLE;Webboard DotA
GUIDE_HERO_SUFFIX;guide วิธีอัพสกิล ออกของ ออกไอเท็ม upskill
REPLAY_SLUG_URL_TEMPLATE;replay-รายการ-${tournament}-ทีม-${team1}-vs-${team2}
GUIDE_SKILL_SLUG_URL_TEMPLATE;รายละเอียดสกิล-hero-${heroName}-${heroLastname}
INDEX_CREDIT_TEXT;ที่มา
INDEX_RELATENEWS_TEXT;ข่าวที่เกี่ยวข้อง
GUIDE_TYPE_TEXT;สาย
GUIDE_TITLE_TEXT;guide รายละเอียดสกิล แนวทางการเล่น ประวัติ skill
GUIDE_DETAIL_SKILL_ITEM_TEXT;รายละเอียดสกิล & วิธีการอัพสกิล & ออกไอเท็ม
GUIDE_DETAIL_SKILL_TEXT;รายละเอียด Skill
GUIDE_INTRODUCTION_TEXT;ความเป็นมา
GUIDE_UPSKILL_TEXT;ลำดับการอัพสกิล
GUIDE_BUYITEM_TEXT;ลำดับการออกไอเท็ม
GUIDE_NOTE_TEXT;หมายเหตุ :
